1790187304.446428000	344566	5645369344
1790187305.140095000	335973	5504581632
1790187305.659282000	339308	5559222272
1790187306.188305000	342444	5610602496
1790187306.760913000	338754	5550145536
1790187307.328056000	679314	11129880576
1790187307.954525000	714429	11705204736
1790187308.491558000	710863	11646779392
1790187309.059867000	707475	11591270400
1790187309.752304000	692369	11343773696
1790187310.481909000	689212	11292049408
1790187311.104658000	689204	11291918336
1790187311.710211000	693124	11356143616
1790187312.276948000	689303	11293540352
1790187312.842155000	788233	12914409472
1790187313.457952000	795112	13027115008
1790187314.134521000	795227	13028999168
1790187314.825121000	787670	12905185280
1790187315.435342000	692702	11349229568
1790187315.978865000	720925	11811635200
1790187316.501620000	713274	11686281216
1790187317.024994000	714232	11701977088
1790187317.545004000	714208	11701583872
1790187318.061628000	710443	11639898112
1790187318.574320000	714292	11702960128
1790187319.099324000	596960	9780592640
1790187319.626354000	596906	9779707904
1790187320.150376000	593100	9717350400
1790187320.731945000	702730	11513528320
1790187321.282735000	706802	11580243968
1790187321.802973000	825149	13519241216
1790187322.413625000	838277	13734330368
1790187322.964938000	735345	12047892480
1790187323.493419000	734810	12039127040
1790187324.027207000	749183	12274614272
1790187324.552710000	936089	15336882176
1790187325.080612000	948574	15541436416
1790187325.784883000	857514	14049509376
1790187326.473491000	801581	13133103104
1790187327.066094000	697758	11432067072
1790187327.737187000	706976	11583094784
1790187328.305775000	708614	11609931776
1790187328.836882000	704921	11549425664
1790187329.362997000	702546	11510513664
1790187329.890446000	702631	11511906304
1790187330.412250000	698859	11450105856
1790187330.936311000	698862	11450155008
1790187331.470664000	721436	11820007424
1790187331.993655000	724515	11870453760
1790187332.518251000	720627	11806752768
1790187333.046302000	823459	13491552256
1790187333.570569000	705041	11551391744
1790187334.098348000	701278	11489738752
1790187334.625461000	702163	11504238592
1790187335.142808000	708823	11613356032
1790187335.672730000	708054	11600756736
1790187336.197880000	713548	11690770432
1790187336.714672000	709781	11629051904
1790187337.242661000	707024	11583881216
1790187337.779452000	721814	11826200576
1790187338.309658000	720917	11811504128
1790187338.837341000	714202	11701485568
1790187339.362023000	711822	11662491648
1790187339.892583000	715518	11723046912
1790187340.420093000	711894	11663671296
1790187340.944185000	733766	12022022144
1790187341.482644000	738483	12099305472
1790187342.008744000	741311	12145639424
1790187342.539341000	745005	12206161920
1790187343.064703000	745020	12206407680
1790187343.585899000	737194	12078186496
1790187344.111586000	749791	12284575744
1790187344.641163000	611427	10017619968
1790187345.161925000	624692	10234953728
1790187345.678077000	629416	10312351744
1790187346.218589000	616231	10096328704
1790187346.752006000	598777	9810362368
1790187347.275952000	614972	10075701248
1790187347.820468000	620221	10161700864
1790187348.341212000	616430	10099589120
1790187348.854701000	611099	10012246016
1790187349.375210000	614834	10073440256
1790187349.895761000	614789	10072702976
1790187350.415308000	611004	10010689536
1790187350.944033000	611101	10012278784
1790187351.496993000	605301	9917251584
1790187352.046371000	605304	9917300736
1790187352.573524000	598602	9807495168
1790187353.097931000	597213	9784737792
1790187353.618740000	597240	9785180160
1790187354.142185000	603563	9888776192
1790187354.666664000	606527	9937338368
1790187355.183306000	610473	10001989632
1790187355.699213000	610472	10001973248
